"catalogNumber","traitID","taxonID","stageID","observationNumber","scientificName","traitName","traitValue","traitUnit","valueType","lifeStage","assocTemperature","dispersionSD","individualCount","sizeType","sizeAssocName","sizeAssocUnit","sizeAssocValue","sizeAssocSD","sizeAssocN","sizeAssocReference","verbatimLocality","decimalLongitude","decimalLatitude","notes","primaryReference","secondaryReference","primaryReferenceDOI","secondaryReferenceDOI","acceptedNameUsageID","acceptedNameUsage","taxonRank","kingdom","phylum","class","order","family","genus","majorgroup","basisOfRecord","basisOfRecordDescription","uploadBy","uploadDate","maxObsNum","verbatimScientificName","verbatimTraitName","verbatimTraitValue","verbatimTraitUnit","verbatimLifeStage","verbatimTemperature","verbatimNotes","aggregateMeasure","isDerived","catalogSource","errorRisk","errorRiskRank"
"139-2880-1",139,2880,0,1,"Pagurus granosimanus","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:366694","Pagurus granosimanus (Stimpson, 1859)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pagurus granosimanus","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2881-1",139,2881,0,1,"Pagurus hemphilli","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:366698","Pagurus hemphilli (Benedict, 1892)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pagurus hemphilli","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2882-1",139,2882,0,1,"Pagurus hirsutiusculus","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:366699","Pagurus hirsutiusculus (Dana, 1851)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pagurus hirsutiusculus","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2883-1",139,2883,0,1,"Pagurus kennerlyi","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:366712","Pagurus kennerlyi (Stimpson, 1864)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pagurus kennerlyi","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2884-1",139,2884,0,1,"Pagurus ochotensis","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:366742","Pagurus ochotensis Brandt, 1851","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pagurus ochotensis","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2885-1",139,2885,0,1,"Pagurus samuelis","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:366786","Pagurus samuelis (Stimpson, 1857)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pagurus samuelis","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2886-1",139,2886,0,1,"Pagurus stevensae","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:366798","Pagurus stevensae Hart, 1971","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pagurus stevensae","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2897-1",139,2897,0,1,"Pandalus dispar","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:1337983","Pandalus dispar (Rathbun, 1902)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pandalopsis dispar","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2895-1",139,2895,0,1,"Pandalus borealis","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:107649","Pandalus borealis Krøyer, 1838","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pandalus borealis","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2896-1",139,2896,0,1,"Pandalus danae","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:515462","Pandalus danae Stimpson, 1857","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pandalus danae","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2899-1",139,2899,0,1,"Pandalus goniurus","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:254483","Pandalus goniurus Stimpson, 1860","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pandalus goniurus","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2900-1",139,2900,0,1,"Pandalus hypsinotus","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:515467","Pandalus hypsinotus Brandt, 1851","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pandalus hypsinotus","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2901-1",139,2901,0,1,"Pandalus jordani","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:515469","Pandalus jordani Rathbun, 1902","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pandalus jordani","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2902-1",139,2902,0,1,"Pandalus platyceros","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:423632","Pandalus platyceros Brandt, 1851","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pandalus platyceros","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2903-1",139,2903,0,1,"Pandalus stenolepis","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:514361","Pandalus stenolepis Rathbun, 1902","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pandalus stenolepis","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2904-1",139,2904,0,1,"Pandalus tridens","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:423633","Pandalus tridens Rathbun, 1902","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pandalus tridens","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2908-1",139,2908,0,1,"Paracrangon echinata","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:515591","Paracrangon echinata Dana, 1852","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Paracrangon","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Paracrangon echinata","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-4679-1",139,4679,0,1,"Pectinariidae","reproductionMode","broadcasting",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spawns","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:980","Pectinariidae Quatrefages, 1866","Family","Animalia","Annelida","Polychaeta","Terebellida","Pectinariidae",NA,"Polychaete","literature",NA,"P. Pata","2023-08-15",1,"Pectinariidae","reproductionMode","Broadcast",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-4687-1",139,4687,0,1,"Phyllodoce williamsi","reproductionMode","broadcasting",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deposits masses; pelagic feeding larvae","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:536467","Phyllodoce williamsi (Hartman, 1936)","Species","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Phyllodoce","Polychaete","literature",NA,"P. Pata","2023-08-15",1,"Phyllodoce williamsi","reproductionMode","Broadcast",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2976-1",139,2976,0,1,"Scleroplax faba","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:1424666","Scleroplax faba (Dana, 1851)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pinnotheridae","Scleroplax","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pinnixa faba","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2978-1",139,2978,0,1,"Scleroplax littoralis","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:1424668","Scleroplax littoralis (Holmes, 1895)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pinnotheridae","Scleroplax","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pinnixa littoralis","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2947-1",139,2947,0,1,"Pinnotheres taylori","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:445229","Pinnotheres taylori Rathbun, 1918","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pinnotheridae","Pinnotheres","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pinnotheres taylori","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-4695-1",139,4695,0,1,"Platynereis bicanaliculata","reproductionMode","broadcasting",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spawns","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:334557","Platynereis bicanaliculata (Baird, 1863)","Species","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Platynereis","Polychaete","literature",NA,"P. Pata","2023-08-15",1,"Platynereis bicanaliculata","reproductionMode","Broadcast",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2660-1",139,2660,0,1,"Pleurobrachia bachei","reproductionMode","broadcasting",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Sullivan2011; Wrobel1998","Venello2021",NA,"10.1016/j.pocean.2020.102482","urn:lsid:marinespecies.org:taxname:265191","Pleurobrachia bachei A. Agassiz, 1860","Species","Animalia","Ctenophora","Tentaculata","Cydippida","Pleurobrachiidae","Pleurobrachia","Ctenophore","literature",NA,"P. Pata","2023-08-15",1,"Pleurobrachia bachei","reproductionMode","Broadcast",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-4591-1",139,4591,0,1,"Boccardiella hamata","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Broods; pelagic feeding larvae","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:333121","Boccardiella hamata (Webster, 1879)","Species","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Boccardiella","Polychaete","literature",NA,"P. Pata","2023-08-15",1,"Polydora (Boccardia) hamata","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-4590-1",139,4590,0,1,"Boccardia proboscidea","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Broods; pelagic feeding larvae","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:327249","Boccardia proboscidea Hartman, 1940","Species","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Boccardia","Polychaete","literature",NA,"P. Pata","2023-08-15",1,"Polydora (Boccardia) proboscidea","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-4601-1",139,4601,0,1,"Dipolydora commensalis","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Broods; pelagic feeding larvae","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:332756","Dipolydora commensalis (Andrews, 1891)","Species","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Dipolydora","Polychaete","literature",NA,"P. Pata","2023-08-15",1,"Polydora (Polydora) commensalis","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-4710-1",139,4710,0,1,"Pseudopolydora kempi japnica","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Broods; pelagic feeding larvae","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:335668","Pseudopolydora kempi japnica Imajima & Hartman, 1964","Subspecies","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Pseudopolydora","Polychaete","literature",NA,"P. Pata","2023-08-15",1,"Polydora (Pseudopolydora) kempi japonica","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2970-1",139,2970,0,1,"Pugettia gracilis","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:441478","Pugettia gracilis Dana, 1851","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Epialtidae","Pugettia","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pugettia gracilis","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2971-1",139,2971,0,1,"Pugettia producta","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:240780","Pugettia producta (Randall, 1840)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Epialtidae","Pugettia","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pugettia producta","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-4712-1",139,4712,0,1,"Pygospio elegans","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Broods; pelagic feeding larvae","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:131170","Pygospio elegans Claparède, 1863","Species","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Pygospio","Polychaete","literature",NA,"P. Pata","2023-08-15",1,"Pygospio elegans","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-3392-1",139,3392,0,1,"Sarsia","reproductionMode","broadcasting",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Colin2003; Mills1982; Wrobel1998","Venello2021",NA,"10.1016/j.pocean.2020.102482","urn:lsid:marinespecies.org:taxname:117070","Sarsia Lesson, 1843","Genus","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Corynidae","Sarsia","Hydromedusae","literature",NA,"P. Pata","2023-08-15",1,"Sarsia","reproductionMode","Broadcast",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2977-1",139,2977,0,1,"Scleroplax granulata","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:445239","Scleroplax granulata Rathbun, 1894","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pinnotheridae","Scleroplax","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Scleroplax granulata","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-3717-1",139,3717,0,1,"Canuella canadensis","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brooding","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:349947","Canuella canadensis Willey, 1923","Species","Animalia","Arthropoda","Copepoda","Polyarthra","Canuellidae","Canuella","Non-calanoid","literature",NA,"P. Pata","2023-08-15",1,"Scottolana canadensis","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2982-1",139,2982,0,1,"Scyra acutifrons","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:441698","Scyra acutifrons Dana, 1851","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Epialtidae","Scyra","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Scyra acutifrons","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2983-1",139,2983,0,1,"Sergestes","reproductionMode","broadcasting",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shed free eggs","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:106829","Sergestes H. Milne Edwards, 1830","Genus","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Sergestes","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Sergestes","reproductionMode","Broadcast",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-4727-1",139,4727,0,1,"Serpula vermicularis","reproductionMode","broadcasting",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pelagic feeding larvae; Spawns","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:131051","Serpula vermicularis Linnaeus, 1767","Species","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","Serpula","Polychaete","literature",NA,"P. Pata","2023-08-15",1,"Serpula vermicularis","reproductionMode","Broadcast",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2992-1",139,2992,0,1,"Spirontocaris holmesi","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:515330","Spirontocaris holmesi Holthuis, 1947","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Spirontocaris","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Spirontocaris holmesi","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2993-1",139,2993,0,1,"Spirontocaris lamellicornis","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:515332","Spirontocaris lamellicornis (Dana, 1852)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Spirontocaris","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Spirontocaris lamellicornis","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-2994-1",139,2994,0,1,"Spirontocaris sica","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Based on decapod brood development table","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:515337","Spirontocaris sica Rathbun, 1902","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Spirontocaris","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Spirontocaris sica","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-4732-1",139,4732,0,1,"Spirorbinae","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Broods","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:989","Spirorbinae Chamberlin, 1919","Family","Animalia","Annelida","Polychaeta","Sabellida","Spirorbidae",NA,"Polychaete","literature",NA,"P. Pata","2023-08-15",1,"Spirorbidae","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-4311-1",139,4311,0,1,"Tigriopus californicus","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brooding","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:293140","Tigriopus californicus (Baker, 1912)","Species","Animalia","Arthropoda","Copepoda","Harpacticoida","Harpacticidae","Tigriopus","Non-calanoid","literature",NA,"P. Pata","2023-08-15",1,"Tigriopus californicus","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-4313-1",139,4313,0,1,"Tisbe cucumariae","reproductionMode","brooding",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brooding","Strathmann1987",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:116658","Tisbe cucumariae Humes, 1957","Species","Animalia","Arthropoda","Copepoda","Harpacticoida","Tisbidae","Tisbe","Non-calanoid","literature",NA,"P. Pata","2023-08-15",1,"Tisbe cucumariae","reproductionMode","Brooding",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-4397-1",139,4397,0,1,"Conchoecia rudyakovi","reproductionMode","broadcasting",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Angel2017",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:1314226","Conchoecia rudyakovi Chavtur, in Chavtur & Bashmanov, 2018","Species","Animalia","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Conchoecia","Ostracod","literature",NA,"P. Pata","2023-08-15",1,"Conchoecia rudyakovi","reproductionMode","Broadcast",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-4361-1",139,4361,0,1,"Alacia","reproductionMode","broadcasting",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Angel2017",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:127528","Alacia Poulsen, 1973","Genus","Animalia","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Alacia","Ostracod","literature",NA,"P. Pata","2023-08-15",1,"Alacia","reproductionMode","Broadcast",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-4367-1",139,4367,0,1,"Alacia minor","reproductionMode","broadcasting",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Angel2017",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:172451","Alacia minor (McHardy, R.A., 1964)","Subspecies","Animalia","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Alacia","Ostracod","literature",NA,"P. Pata","2023-08-15",1,"Alacia minor","reproductionMode","Broadcast",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"139-4366-1",139,4366,0,1,"Alacia major","reproductionMode","broadcasting",NA,"categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Angel2017",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:422960","Alacia major Chavtur, 1978","Species","Animalia","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Alacia","Ostracod","literature",NA,"P. Pata","2023-08-15",1,"Alacia major","reproductionMode","Broadcast",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
