Species,Mass - average - g,Mass - adult - average - g,Mass - adult - female - average - g,Mass - adult - male - average - g,Mass - embryo - average - g,Mass - weanling - average - g,Mass - female - average - g,Mass - male - average - g,"Lifespan (wild, undetermined) - undetermined - average - years",Age at sexual or reproductive maturity (male) - average - years,Age at sexual or reproductive maturity (male) - male - average - years,Age at sexual or reproductive maturity (female) - average - years,Age at sexual or reproductive maturity (female) - female - average - years,Age at sexual or reproductive maturity (female) - male - average - years,"Lifespan (wild, female) - female - average - years",
Dryomys nitedula,26,,,,,,,,5.5,1,,0.0167,,,,
Dugong dugon,315000,,,,,,,,70,9,,0.1917,,,,
Dumetella carolinensis,39.5,,,,,,,,17.92,1,1.0139,0.0167,0.0169,,,
Dyacopterus spadiceus,90,,,,,,,,,,,,,,,
Dynastes hercules,,,,,,,,,2.83,1.5417,,0.0257,,,,
Dytiscus marginalis,30,,,,,,,,,,,,,,,
Echeneis naucrates,2.01,,,,,,,,,,,,,,,
Echimys semivillosus,300,,,,,,,,,,,,,,,
Echinarachnius parma,17.5,,,,,,,,,,,,,,,
Echinosorex gymnura,950,,,,,,,,,,,,,,,
Echymipera kalubu,650,,,,,,,,,,,,,,,
Echymipera rufescens,1362.5,,,,,,,,,,,,,,,
Egretta caerulea,396,,,,,,,,13.92,,,,,,,
Egretta thula,370,,,,,,,,22,2,,0.0333,,,,
Eidolon helvum,290,,,,,,,,15,,,,,,,
Eira barbara,4500,,,,,,,,,,0.5083,,0.0324,,,
Elanoides forficatus,432,,,,,,,,,,,,,,,
Elaphodus cephalophus,33500,,,,,,,,,1.75,,0.0292,,,,
Elaphurus davidianus,186500,,,,,,,,18,2.25,3.2944,0.0375,0.038,,,
Electrophorus electricus,20000,,,,,,,,,,,,,,,
Elephantulus brachyrhynchus,50,,,,,,,,,,,,,,,
Elephantulus intufi,52,,,,,,,,,0.5,,0.0153,,,,
Elephantulus myurus,60,,,,,,,,,0.1069,,0.0018,,,1.1,1.1
Elephantulus rozeti,52,,,,,,,,1.25,0.125,,0.0021,,,,
Elephantulus rufescens,42.5,,,,,,,,1,0.1389,0.1389,0.0023,0.0023,,,
Elephas maximus,4000000,,,,,,,,65,12.5,,0.2083,,,,
Eleutherodactylus coqui,85.5,,,,,,,,1,1,,0.0167,,,,
Eliomys quercinus,82.5,,,,,,,,,,1.0139,,0.0169,,,
Eliurus minor,35.1,,,,,,,,,,,,,,,
Emballonura monticola,4.5,,,,,,,,,1,,0.0167,,,,
Empidonax difficilis,10.5,,,,,,,,6,1,,0.0167,,,6,6
Empidonax flaviventris,12,,,,,,,,4,,,,,,,
Empidonax traillii,13.85,,,,,,,,11,,,,,,,
Empidonax virescens,12.5,,,,,,,,10.75,1,,0.0167,,,,
Emydoidea blandingii,1075,,,,,,,,73.5,12,,0.3,,,,
Emydura subglobosa,500,,,,,,,,,10,,0.1667,,,,
Emys marmorata,779.62,,,,,,,,50,11,,0.1833,,,,
Engraulis mordax,9,,,,,,,,7,2,,0.0333,,,,
Enhydra lutris,29500,,,,,,,,23,6,,0.075,,,,
Enteroctopus dofleini,60000,,,,,,,,4.75,4,,0.0667,,,,
Eonycteris major,91,,,,,,,,,,,,,,,
Eonycteris spelaea,60,,,,,,,,,1.5,,0.0125,,,,
Epinephelus striatus,12000,,,,,,,,29,5,,0.0833,,,,
Epomophorus gambianus,80,,,,,,,,21,,,,,,,
Epomophorus wahlbergi,80,,,,,,,,,,,,,,,
Epomops franqueti,118,,,,,,,,,,,,,,,
Eptatretus stoutii,1100,,,,,,,,40,,,,,,,
Eptesicus fuscus,23,,,,,,,,19,,2.0278,,0.0253,,,
Equus asinus,250000,,,,,,,,27.5,,2.7917,0.0333,0.0328,,,
Equus burchellii,280000,,,,,,,,20,1.5833,,0.0264,,,,
Equus caballus,563500,,,,,,,,62,6,2.7028,0.05,,,,
Equus caballus przewalskii,250000,,,,,,,,,,,,,,,
Equus grevyi,400000,,,,,,,,12.5,6,,0.05,,,,
Equus hemionus,230000,,,,,,,,14,3.5,3.2972,0.0583,0.0536,,,
Equus kiang,345000,,,,,,,,,2,,0.0333,,,,
Equus quagga,275000,,,,,,,,20,,,,,,,
Equus zebra,306000,,,,,,,,20,3.5,,0.0924,,,24,24
Eremitalpa granti,24,,,,,,,,,,,,,,,
Eremophila alpestris,31,,,,,,,,7.92,,,,,,,
Erethizon dorsatum,9500,,,,,,,,6,2.4167,,0.0347,,,,
Eretmochelys imbricata,80000,,,,,,,,,,3.5472,0.05,0.0591,,,
Erignathus barbatus,315000,,,,,,,,31,6.5,,0.0917,,,,
Erinaceus europaeus,1000,,,,,,,,8,0.7028,0.7028,0.0117,0.0117,,,
Erophylla sezekorni,17,,,,,,,,,,,,,,,
Erythrocebus patas,10000,,,,,,,,21,4.25,,0.05,0.0443,,,
Eschrichtius robustus,36000000,,,,,,,,52.5,8,,0.1333,,,,
Esox lucius,950,,,,,,,,12,2.5,,0.0583,,,,
Esox masquinongy,15240,,,,,,,,19,,4.0556,,0.0845,,,
Estrilda astrild,8.9,,,,,,,,4,0.75,,,,,,
Etheostoma barbouri,2.7,,,,,,,,2,1,,0.0167,,,,
Etheostoma microperca,0.29,,,,,,,,3,1,,0.0167,,,,
Eubalaena australis,49000000,,,,,,,,,10,,0.1667,0.1521,,,
Eubalaena glacialis,75000000,,,,,,,,67,7.5,,0.125,,,,
Eubalaena japonica,90718000,,,,,,,,,10,,0.1667,,,,
Euderma maculatum,18,,,,,,,,,,,,,,,
Eudocimus albus,900,,,,,,,,16.33,3,,0.05,,,,
Eudocimus ruber,615,,,,,,,,,,,,,,,
Eudorcas thomsonii,25000,,,,,,,,10.5,,,,,,,
Eudyptes chrysocome,2500,,,,,,,,10,,,,,,,
Eudyptes chrysolophus,5500,,,,,,,,,,,,,,,
Eudyptes pachyrhynchus,3500,,,,,,,,,,,,,,,
Eudyptes robustus,3500,,,,,,,,,,,,,,,
Eudyptes schlegeli,4500,,,,,,,,,,,,,,,
Eudyptes sclateri,6000,,,,,,,,,,,,,,,
Eudyptula minor,1150,,,,,,,,6,3,,0.05,,,,
Eulemur cinereiceps,2250,,,,,,,,22.5,,,,,,,
Eulemur coronatus,2000,,,,,,,,,1.6667,,0.0278,0.0281,,,
Eulemur fulvus,3000,,,,,,,,25,1.5,,0.025,,,,
Eulemur macaco,2500,,,,,,,,,2,1.5222,0.0333,0.0254,,,
Eulemur mongoz,2500,,,,,,,,,2,,0.0333,0.0369,,,
Eulemur rubriventer,2500,,,,,,,,22.5,2,,0.0333,,,,
Eulemur rufus,2210,,,,,,,,25.4,3.75,,0.05,,,,
Eumetopias jubatus,735000,,,,,,,,25,9,,0.075,,,,
Eumomota superciliosa,66.5,,,,,,,,,,,,,,,
Eumops bonariensis,10,,,,,,,,,,,,,,,
Eumops dabbenei,76,,,,,,,,,,,,,,,
Eumops glaucinus,36.6,,,,,,,,,,,,,,,
Eumops perotis,57,,,,,,,,,,,,,,,
Eunectes murinus,250000,,,,,,,,10,3.5,,0.0583,,,,
Eunectes notaeus,30000,,,,,,,,17.5,3.5,,0.0583,,,,
Euoticus elegantulus,315,,,,,,,,3.5,,,,,,,
Euphausia superba,2,,,,,,,,9,2.9,,0.0483,,,,
Euphractus sexcinctus,5000,,,,,,,,,,0.7611,,0.0127,,,
Eupleres goudotii,3000,,,,,,,,,,,,,,,
Euscorpius flavicaudis,0.7,,,,,,,,,,,,,,,
Euspira lewisii,435,,,,,,,,,,,,,,,
Falco biarmicus,700,,,,,,,,,,,,,,,
Falco cherrug,1015,,,,,,,,10,3.5,,0.0417,,,,
Falco columbarius,195,,,,,,,,11.92,,,,,,,
Falco eleonorae,400,,,,,,,,6,,,,,,,
Falco mexicanus,760,,,,,,,,9.1,2,,0.0167,,,,
Falco peregrinus,907,,,,,,,,20,4,,0.05,,,,
Falco punctatus,225,,,,,,,,,,,,,,,
Falco rufigularis,148,,,,,,,,,,,,,,,
Falco rusticolus,1450,,,,,,,,13.5,,,,,,,
Falco sparverius,122.5,,,,,,,,11,1,1.0139,0.0167,0.0169,,,
Falco tinnunculus,170,,,,,,,,16.2,1,,0.0167,,,,
Felis bieti,6500,,,,,,,,,,,,,,,
Felis catus,4750,,,,,,,,,0.6667,,0.0083,,,,
Felis chaus,10000,,,,,,,,13,1.2083,,0.0201,,,,
Felis manul,3.75,,,,,,,,2.26,1,,0.0167,,,,
Felis margarita,2400,,,,,,,,,0.9583,,0.016,,,,
Felis nigripes,1880,,,,,,,,12,1.2083,1.2056,0.0206,,,,
Felis silvestris,4250,,,,,,,,15,0.875,,0.0146,,,,
Feresa attenuata,150000,,,,,,,,21,,,,,,,
Ficedula hypoleuca,13,,,,,,,,10.92,1,,0.0167,,,,
Fossa fossana,1750,,,,,,,,,,,,0.0337,,,
Fratercula arctica,490.5,,,,,,,,31.92,,,,,,,
Fratercula cirrhata,760,,,,,,,,6,3.5,,0.0583,,,,
Fratercula corniculata,532,,,,,,,,20,4,,0.0667,,,,
Fregata andrewsi,1550,,,,,,,,25.6,6,,0.1,,,,
Fregata magnificens,1587.5,,,,,,,,14.5,,,,,,,
Fregata minor,1400,,,,,,,,37,6,,0.1,,,,
Fringilla montifringilla,21,,,,,,,,14.8,,,,,,,
Fulica americana,900,,,,,,,,9,,,,,,,
Fulmarus glacialis,767.5,,,,,,,,31.8,8,,0.2,,,,
Funambulus pennantii,147.7,,,,,,,,,0.8333,,0.0111,,,,
Furipterus horrens,3,,,,,,,,,,,,,,,
Gadopsis marmoratus,450,,,,,,,,,2,,0.0333,,,,
Gadus morhua,40000,,,,,,,,16,4.35,,0.0592,,,,
Galago alleni,322.5,,,,,,,,8,0.75,,0.0125,,,,
Galago demidoff,60,,,,,,,,4.5,0.75,,0.0125,,,,
Galago gabonensis,350,,,,,,,,,0.8333,,0.0139,,,,
Galago senegalensis,197.5,,,,,,,,3.5,,0.8333,,0.0111,,,
Galago thomasi,99,,,,,,,,,,,,,,,
Galago zanzibaricus,146.8,,,,,,,,16.5,1.0139,,0.0123,,,,
Galea musteloides,450,,,,,,,,,0.1667,,0.0031,,,,
Galemys pyrenaicus,57.5,,,,,,,,3.5,,2.0278,,0.0338,,,
Galeocerdo cuvier,623500,,,,,,,,27,7,5.0694,0.1333,0.1183,,,
Galeopterus variegates,1450,,,,,,,,,,,,,,,
Galerella sanguinea,500,,,,,,,,,,1.0139,,0.0169,,,
Galictis cuja,1750,,,,,,,,,,,,,,,
Galictis vittata,2600,,,,,,,,,0.3333,,,,,,
Galidia elegans,800,,,,,,,,,2,,0.0333,0.0341,,,
Galidictis fasciata,605,,,,,,,,,,,,,,,
Galidictis grandidieri,544,,,,,,,,,,,,,,,
Gallicolumba luzonica,184,,,,,,,,15,1.5,,0.025,,,,
Gallinago gallinago,122.5,,,,,,,,9.25,,,,,,,
Gallinula chloropus,300,,,,,,,,10.5,1,,0.0167,,,,
Gallus gallus,2580.2,,,,,,,,,,,,,,,
Garrulus glandarius,170,,,,,,,,16.75,2,,0.0333,,,,
Gavia adamsii,5200,,,,,,,,18,4,,0.0667,,,,
Gavia arctica,2700,,,,,,,,28,2.5,,0.0417,,,,
Gavia immer,4800,,,,,,,,17,2.5,,0.0417,,,,
Gavia stellata,1816,,,,,,,,23,2.5,,0.0417,,,,
Gavialis gangeticus,170000,,,,,,,,,15,,0.1333,,,,
Gazella bennettii,22500,,,,,,,,,2,,0.0167,,,,
Gazella dorcas,16500,,,,,,,,12.5,,1.6361,0.0333,0.0338,,,
Gazella gazella,23250,,,,,,,,8,2.25,,0.0375,,,,
Gazella subgutturosa,30250,,,,,,,,6,1,,0.0167,,,,
Genetta angolensis,1500,,,,,,,,,,,,,,,
Genetta genetta,2000,,,,,,,,,,,,0.0685,,,
Genetta piscivora,1465,,,,,,,,,,,,,,,
Genetta tigrina,1820,,,,,,,,,,,,0.0676,,,
Geocapromys brownii,1500,,,,,,,,,,,,0.0169,,,
Geocapromys ingrahami,5000,,,,,,,,6,,2.0278,,0.0338,,,
Geochelone elegans,3800,,,,,,,,57.5,7,,0.1583,,,,
Geochelone sulcata,43,,,,,,,,,,,,,,,
Geococcyx californianus,284,,,,,,,,3.75,2.5,,0.0417,,,,
Geogale aurita,6,,,,,,,,,,,,,,,
Geomys arenarius,209.5,,,,,,,,,1,,0.0146,,,,
Geomys bursarius,375,,,,,,,,,,0.2528,,0.0042,,,
Geomys pinetis,217.5,,,,,,,,2,,,0.0069,,,,
Georychus capensis,181,,,,,,,,3,0.8333,0.8444,0.0139,0.0141,,,
Geothlypis trichas,10.45,,,,,,,,11.5,,,,,,,
Gerbillurus setzeri,35,,,,,,,,,,,,,,,
Gerbillus cheesmani,36.5,,,,,,,,,,,,,,,
Ginglymostoma cirratum,92470,,,,,,,,25,12.5,,0.2917,,,,
Giraffa camelopardalis,1555000,,,,,,,,25,4.5,,0.0583,,,,
Glaucidium brasilianum,69.45,,,,,,,,,,,,,,,
Glaucomys sabrinus,132.17,,,,,,,,4,1,,0.0167,0.0097,,,
Glaucomys volans,64,,,,,,,,4,0.9167,,0.0097,0.0097,,,
Glenurus gratus,0,,,,,,,,1.5,,,,,,,
Glironia venusta,140,,,,,,,,,,,,,,,
Glirulus japonicus,27,,,,,,,,6,1,,0.0167,,,,
Glis glis,135,,,,,,,,9,,,0.0169,,,,
Globicephala macrorhynchus,2200000,,,,,,,,,14.6,,0.15,,,63,63
Glossophaga commissarisi,9.3,,,,,,,,,,,,,,,
Glossophaga longirostris,13.05,,,,,,,,,,,,,,,
Glossophaga soricina,9.6,,,,,,,,,,,,,,,
Gopherus agassizii,17000,,,,,,,,1,17.5,,0.2917,,,,
Gopherus polyphemus,5500,,,,,,,,,,10.1389,,0.169,,,
Gorilla beringei,135000,,,,,,,,50,15,,0.1667,,,,
Gorilla gorilla,180000,,,,,,,,47,15,11.1528,0.1667,0.131,,,
Gracilinanus agilis,17,,,,,,,,1.5,,,,,,,
Grampus griseus,400000,,,,,,,,30,,,0.15,,,,
Graphiurus murinus,28.5,,,,,,,,5.5,1,,0.0167,,,,
Graphiurus surdus,25,,,,,,,,,,,,,,,
Graptemys pseudogeographica,1450,,,,,,,,40,5,,0.1833,,,,
Grus americana,6500,,,,,,,,26,4.5,,0.075,,,,
Grus antigone,8500,,,,,,,,,,,,,,,
Grus canadensis,4200,,,,,,,,31.25,4.5,,0.075,,,,
Grus japonensis,9500,,,,,,,,30,2.5,3.0417,0.0417,0.0507,,,
Grus leucogeranus,6750,,,,,,,,,5,,0.0833,,,,
Gulo gulo,19500,,,,,,,,13,2.1556,2.1556,0.0329,0.0329,,,
Gymnobelideus leadbeateri,135,,,,,,,,,2,1.2889,0.0333,0.022,,,
Gymnogyps californianus,10000,,,,,,,,45,,6.0833,,0.1014,,,
Gymnosarda unicolor,17500,,,,,,,,,,,,,,,
Gymnothorax funebris,13300,,,,,,,,,,,,,,,
Gymnuromys roberti,127.5,,,,,,,,,,,,,,,
Gypaetus barbatus,5850,,,,,,,,21.4,8.9,,0.1283,,,,
Gyps bengalensis,5500,,,,,,,,,,,,,,,
Gyps himalayensis,10000,,,,,,,,,,,,,,,
Gyrodactylus salaris,0,,,,,,,,,,,,,,,
Habronattus calcaratus,0,,,,,,,,1,0.4167,,0.0069,,,,
Haematopus palliatus,550,,,,,,,,17,3.5,,0.0583,,,,
Hagenius brevistylus,1.2,,,,,,,,5.5,5.5,,0.0917,,,,
Halcyon smyrnensis,73.25,,,,,,,,,,,,,,,
Haliaeetus leucocephalus,4300,,,,,,,,28,5,4.0556,0.0833,0.0676,,,
Haliaeetus leucogaster,2600,,,,,,,,30,5,,0.0833,,,,
Haliaeetus vocifer,2850,,,,,,,,0,,,,,,,
Halichoerus grypus,185000,,,,,,,,46,5.5,,0.05,,,,
Hapalemur aureus,1480,,,,,,,,,,,,,,,
Hapalemur griseus,935,,,,,,,,,3,,0.0333,0.0407,,,
Hapalochlaena lunulata,55,,,,,,,,,,,,,,,
Hapalochlaena maculosa,26,,,,,,,,,,,,,,,
Haplonycteris fischeri,18.5,,,,,,,,10,0.5833,,0.0097,,,,
Harpia harpyja,7000,,,,,,,,30,4.5,,0.075,,,,
Harpyionycteris whiteheadi,112.5,,,,,,,,,1,,0.0167,,,,
Helarctos malayanus,46000,,,,,,,,,3,,0.05,0.1098,,,
Heliosciurus gambianus,295,,,,,,,,,,,,,,,
Heloderma horridum,2700,,,,,,,,,,,,,,,
Helogale parvula,274.8,,,,,,,,,,,,0.0211,,,
Hemaris thysbe,3,,,,,,,,,,,,,,,
Hemibelideus lemuroides,945,,,,,,,,4,2,,0.0333,,,,
Hemicentetes nigriceps,100,,,,,,,,,0.1042,,0.0017,,,,
Hemicentetes semispinosus,202.5,,,,,,,,2.7,,,0.0012,0.0016,,,
Hemiechinus auritus,342,,,,,,,,,,,,0.0099,,,
Hemigalus derbyanus,2000,,,,,,,,,,,,,,,
Hemitragus hylocrius,75000,,,,,,,,3.25,,,,0.031,,,
Hemitragus jayakari,28500,,,,,,,,,2.5,,0.0417,,,,
Hemitragus jemlahicus,63000,,,,,,,,10,4,,0.0667,,,,
Hepsetus odoe,1200,,,,,,,,4.5,,,,,,,
Herpestes ichneumon,2850,,,,,,,,12,2,2.0278,0.0333,0.0338,,,
Herpestes javanicus,,,,,,,,,,,0.3389,,0.0139,,,
Herpetotheres cachinnans,600,,,,,,,,,,,,,,,
Heterocephalus glaber,35.3,,,,,,,,30,1,,0.0106,0.0106,,,
Heterodon nasicus,215,,,,,,,,14,,2.0278,,0.0338,,,
Heterodontus francisci,10000,,,,,,,,,,,,,,,
Heterohyrax brucei,2456.7,,,,,,,,14,,1.3722,,0.0229,,,
Heteromys desmarestianus,66.5,,,,,,,,,,,,,,,
Heteronetta atricapilla,538.9,,,,,,,,,,,,,,,
Hexanchus griseus,500000,,,,,,,,,12.5,,0.4417,,,,
Hexaprotodon liberiensis,217500,,,,,,,,,4,,0.0667,,,,
Himantura chaophraya,600000,,,,,,,,,,,,,,,
Hippocamelus antisensis,68600,,,,,,,,,,,,,,,
Hippopotamus amphibius,2900000,,,,,,,,55,3.5528,3.5528,0.0592,0.0592,,,
Hipposideros commersoni,130,,,,,,,,,,,,,,,
Hipposideros diadema,42,,,,,,,,7,,,,,,,
Hipposideros fulvus,9,,,,,,,,12,1.5417,,0.0257,,,,
Hippotragus equinus,262500,,,,,,,,17,4,2.2611,0.0667,0.0338,,,
Hippotragus niger,229000,,,,,,,,,3.75,,0.0625,,,,
Hirundo rustica,18.5,,,,,,,,4,1,,0.0167,,,,
Histrionicus histrionicus,570,,,,,,,,13,2,,0.0333,,,,
Histriophoca fasciata,48000,,,,,,,,25,4.5,,0.0583,,,,
Holacanthus ciliaris,1600,,,,,,,,,,,,,,,
Homarus americanus,10000,,,,,,,,,,,0.0833,,,,
Hoplomys gymnurus,520,,,,,,,,2,0.4167,,0.0069,,,,
Huso huso,1139600,,,,,,,,56,18,,0.3,,,,
Hyaena brunnea,40700,,,,,,,,12,3.3333,,0.0333,,,,
Hyaena hyaena,35000,,,,,,,,,,2.2222,,0.037,,,
Hydrictis maculicollis,4000,,,,,,,,,,,,,,,
Hydrochoerus hydrochaeris,50500,,,,,,,,6,1.5,,0.025,,,,
Hydrodamalis gigas,8000000,,,,,,,,,,,,,,,
Hydromys chrysogaster,850,,,,,,,,,1,0.375,0.0167,0.0075,,,
Hydropotes inermis,12900,,,,,,,,12,,,,0.0085,,,
Hydrurga leptonyx,400000,,,,,,,,26,4.5,4.0583,0.0667,0.0507,,26,26
Hyemoschus aquaticus,10850,,,,,,,,13,,1.1194,,0.0187,,,
Hyla versicolor,7.17,,,,,,,,,1.5,,0.0333,0.0422,,,
Hyladelphys kalinowskii,16.33,,,,,,,,,,,,,,,
Hylobates agilis,5000,,,,,,,,25,8,,0.1333,,,,
Hylobates klossii,5700,,,,,,,,25,6.5,,0.1083,,,,
Hylobates lar,6000,,,,,,,,30,9,5.0694,0.125,,,,
Hylobates moloch,6500,,,,,,,,,,,,,,,
Hylobates muelleri,6000,,,,,,,,,8.5,,0.1417,,,,
Hylobates pileatus,5450,,,,,,,,25,6.5,,0.125,,,,
Hylochoerus meinertzhageni,227500,,,,,,,,,,1.4361,,0.0169,,,
Hylocichla mustelina,45,,,,,,,,8.92,1,,0.0167,,,,
Hylonycteris underwoodi,7.5,,,,,,,,,,,,,,,
Hymenolaimus malacorhynchos,900,,,,,,,,8,2,,0.0167,,,,
Hyperolius viridiflavus,2,,,,,,,,1,0.6667,,0.0111,,,,
Hyperoodon ampullatus,6650000,,,,,,,,37,8,,0.1833,,,,
Hypogeomys antimena,1200,,,,,,,,,1,1.0139,0.0333,0.0338,,,
Hypophthalmichthys molitrix,27000,,,,,,,,20,5,,0.0833,,,,
Hypsignathus monstrosus,326,,,,,,,,30,,1.1667,,0.0083,,,
Hypsiprymnodon moschatus,500,,,,,,,,,,1.0139,,0.0169,,,
Hystrix africaeaustralis,24000,,,,,,,,13.5,1.0833,,0.0174,,,,
Hystrix cristata,20,,,,,,,,,,,,,,,
Hystrix indica,14500,,,,,,,,,,,,,,,
Hystrix pumila,4600,,,,,,,,12,1.125,,0.0188,,,,
Hystrix sumatrae,4700,,,,,,,,,,,,,,,
Ichneumia albicauda,3500,,,,,,,,,,,,,,,
Ichthyomyzon castaneus,35,,,,,,,,7.5,6,,0.1,,,,
Ichthyomyzon fossor,2.2,,,,,,,,7,6,,0.1,,,,
Ichthyomyzon gagei,2.2,,,,,,,,3.64,3.5,,0.0583,,,,
Ichthyomyzon unicuspis,28.4,,,,,,,,7,,,,,,,
Ictalurus furcatus,2000,,,,,,,,0,5,,0.0833,,,,
Ictalurus punctatus,1350,,,,,,,,14,2.5,,0.0417,,,,
Icteria virens,26.55,,,,,,,,8.9,,,,,,,
Icterus bullockii,36,,,,,,,,7,,,,,,,
Icterus dominicensis,36.5,,,,,,,,,1,,0.0167,,,,
Icterus galbula,35,,,,,,,,11.58,1,,0.0167,,,,
Icterus graduacauda,42,,,,,,,,,,,,,,,
Icterus laudabilis,36.9,,,,,,,,,1,,0.0167,,,,
Icterus leucopteryx,38,,,,,,,,,,,,,,,
Icterus mesomelas,70,,,,,,,,,,,,,,,
Icterus northropi,38.5,,,,,,,,,1,,0.0167,,,,
Icterus pectoralis,48.7,,,,,,,,,,,,,,,
Icterus portoricensis,38.8,,,,,,,,,,,,,,,
Icterus pustulatus,77.5,,,,,,,,,1,,0.0167,,,,
Icterus spurius,20.5,,,,,,,,10.92,1,,0.0167,,,,
Ictinia mississippiensis,301,,,,,,,,11.17,2,,0.0333,,,,
Ictiobus cyprinellus,3500,,,,,,,,6,3,,0.05,,,,
Ictiobus niger,28700,,,,,,,,24,2,,0.0333,,,,
Ictonyx striatus,1210,,,,,,,,,0.3889,,0.0065,,,,
Idionycteris phyllotis,12,,,,,,,,,,,,,,,
Idiosepius paradoxus,0.4,,,,,,,,,0.1458,,0.0024,,,,
Idiurus macrotis,30,,,,,,,,,,,,,,,
Idiurus zenkeri,17.4,,,,,,,,,,,,,,,
Iguana iguana,7000,,,,,,,,8,4,,0.0583,,,,
Indicator indicator,47.85,,,,,,,,,1,,0.0167,,,,
Indri indri,8500,,,,,,,,,,,0.1333,,,,
Inia geoffrensis,141750,,,,,,,,30,5,,0.0833,,,,
Isoodon auratus,485,,,,,,,,2.5,0.25,,0.0042,,,,
Isoodon macrourus,1200,,,,,,,,1,,0.5556,,0.0056,,,
Isoodon obesulus,1250,,,,,,,,,,,,0.0097,,,
Istiophorus platypterus,70000,,,,,,,,4.5,3.5,,0.0583,,,,
Isurus oxyrinchus,105000,,,,,,,,30.5,8,,0.3,,,,
Ixoreus naevius,82.5,,,,,,,,5.58,,,,,,,
Jabiru mycteria,8000,,,,,,,,30,,,,,,,
Jacana spinosa,116.15,,,,,,,,,,,,,,,
Jaculus jaculus,55,,,,,,,,3.5,,0.3806,0.0139,,,,
Jaculus orientalis,139.1,,,,,,,,,,,,,,,
Junco hyemalis,19,,,,,,,,11.1,1,,0.0167,,,,
Kannabateomys amblyonyx,475,,,,,,,,,,,,,,,
Katsuwonus pelamis,9000,,,,,,,,10,1.5,,0.025,0.0507,,,
Kerivoula lanosa,7,,,,,,,,,,,,,,,
Kerivoula picta,4.5,,,,,,,,,,,,,,,
Kerodon rupestris,950,,,,,,,,5,0.3694,,0.0062,,,,
Kinosternon flavescens,391,,,,,,,,15,5.5,,0.1083,,,,
Kobus ellipsiprymnus,230000,,,,,,,,,,,,0.0357,,18.5,18.5
Kobus kob,105000,,,,,,,,,,1.0139,,0.0187,,,
Kobus leche,94800,,,,,,,,15,,2.9167,,0.0416,,,
Kobus megaceros,90000,,,,,,,,10.75,2,2.0278,0.0333,0.0338,,,
Kobus vardonii,75000,,,,,,,,17,1.0833,,0.0181,,,,
Kogia breviceps,363000,,,,,,,,17,,,,,,,
Kogia sima,202500,,,,,,,,,,,,,,,
Lagenodelphis hosei,164000,,,,,,,,,7,,0.1167,0.1225,,,
Lagenorhynchus acutus,215000,,,,,,,,,12,,,0.1033,,27,27
Lagenorhynchus albirostris,200000,,,,,,,,,,,,,,,
Lagenorhynchus australis,115000,,,,,,,,13,,,,,,,
Lagenorhynchus cruciger,83750,,,,,,,,,,,,,,,
Lagenorhynchus obliquidens,103000,,,,,,,,,9,,0.0917,,,,
Lagidium peruanum,1250,,,,,,,,,,1.0139,,0.0169,,,
Lagidium viscacia,3000,,,,,,,,,,,,,,,
Lagopus lagopus,570,,,,,,,,9,1,,0.0167,,,,
Lagopus leucura,387.5,,,,,,,,,,,,,,,
Lagorchestes hirsutus,1340,,,,,,,,,1.4167,,0.0194,,,,
Lagostomus maximus,5000,,,,,,,,,,1.2667,,0.0119,,,
Lagostrophus fasciatus,2150,,,,,,,,6,2,,0.0333,,,,
Lagothrix lagotricha,6500,,,,,,,,,5,4.2222,0.1167,,,,
Lagurus lagurus,28.4,,,,,,,,,0.0972,0.1222,0.0037,,,,
Lama glama,140000,,,,,,,,20,2.5,,0.0417,,,,
Lama guanicoe,115000,,,,,,,,28,3,,0.0333,0.0169,,,
Lama pacos,60000,,,,,,,,7.5,2.75,,0.0188,,,,
Lamna ditropis,220000,,,,,,,,21,4,,0.1333,,,,
Lamna nasus,135000,,,,,,,,30,8,,0.2167,,,,
Lampornis clemenciae,7.6,,,,,,,,7.92,,,,,,,
Lampropeltis getula,1814,,,,,,,,5.5,2.5,,0.0417,,,,
Lanius excubitor,65,,,,,,,,4,1,,0.0167,,,,
Lanius ludovicianus,46,,,,,,,,12.5,,,,,,,
Larinioides cornutus,0.23,,,,,,,,1,0.5,,0.0083,,,,
Larus argentatus,1025,,,,,,,,31,4,,0.0667,,,,
Larus atricilla,275.6,,,,,,,,19.83,,,,,,,
Larus californicus,600,,,,,,,,20,4,,0.0667,,,,
Larus canus,432,,,,,,,,24,,,,,,,
Larus delawarensis,500,,,,,,,,23,,,,,,,
Larus glaucescens,908,,,,,,,,24.75,,,,,,,
Larus philadelphia,225,,,,,,,,,,,,,,,
Larus pipixcan,277.83,,,,,,,,9.2,2,,0.0333,,,,
Larus ridibundus,260,,,,,,,,18.17,,,,,,,
Lasioderma serricorne,0,,,,,,,,,0.0778,,0.0013,,,,
Lasionycteris noctivagans,10,,,,,,,,12,,0.4222,,0.007,,,
Lasiorhinus krefftii,32500,,,,,,,,,,,,,,,
Lasiorhinus latifrons,25500,,,,,,,,14,3,1.5194,0.05,0.0253,,,
Lasiurus borealis,10,,,,,,,,,,,,,,,
Lasiurus cinereus,27.5,,,,,,,,,,,,,,,
Lasiurus ega,12,,,,,,,,,,,,,,,
Lasiurus intermedius,19.5,,,,,,,,,,,,,,,
Lasiurus seminolus,10.5,,,,,,,,,1,,0.0167,,,,
Lates calcarifer,55000,,,,,,,,,4,,0.0833,,,,
